model_key,contrast,effect_name,n_matched_games,mean_paired_difference,median_paired_difference,bootstrap_ci_low,bootstrap_ci_high,positive_n,positive_pct,tied_n,tied_pct,negative_n,negative_pct,p_value_raw,p_value_holm
deepseek,A-B,continuation_effect,20,-1.95,0.0,-3.65,-0.45,4,0.2,8,0.4,8,0.4,0.034903587991213084,0.10471076397363925
deepseek,B-C,same_model_effect,20,1.6,0.0,-0.35,3.6,7,0.35,9,0.45,4,0.2,0.1605661298194241,0.3211322596388482
deepseek,C-D,beneficiary_effect,20,0.65,0.0,-0.10124999999999887,1.65,6,0.3,11,0.55,3,0.15,0.2553606237816764,0.3211322596388482
deepseek,A-D,total_effect,20,0.3,0.0,-0.1,0.9,4,0.2,14,0.7,2,0.1,0.5076923076923077,0.5076923076923077
gemini-flash,A-B,continuation_effect,20,1.45,1.0,-0.15,3.05,11,0.55,1,0.05,8,0.4,0.11320886791132088,0.22641773582264177
gemini-flash,B-C,same_model_effect,20,0.5,1.0,-1.0,2.0,11,0.55,2,0.1,7,0.35,0.5801041989580105,0.5801041989580105
gemini-flash,C-D,beneficiary_effect,20,2.0,1.0,1.05,3.05,14,0.7,6,0.3,0,0.0,0.000183094293561184,0.000549282880683552
gemini-flash,A-D,total_effect,20,3.95,3.5,2.75,5.15,16,0.8,4,0.2,0,0.0,4.577566870622702e-05,4.577566870622702e-05
gemini-pro,A-B,continuation_effect,20,2.2,2.0,0.65,3.7,14,0.7,1,0.05,5,0.25,0.014799852001479985,0.02959970400295997
gemini-pro,B-C,same_model_effect,20,1.0,1.0,-0.55,2.55,12,0.6,2,0.1,6,0.3,0.25935740642593574,0.25935740642593574
gemini-pro,C-D,beneficiary_effect,20,1.85,1.0,1.05,2.95,16,0.8,4,0.2,0,0.0,4.577566870622702e-05,0.00013732700611868105
gemini-pro,A-D,total_effect,20,5.05,4.5,3.5,6.6,19,0.95,1,0.05,0,0.0,2.999970000299997e-05,2.999970000299997e-05
grok-4.6,A-B,continuation_effect,20,0.2,0.0,0.05,0.4,4,0.2,16,0.8,0,0.0,0.17647058823529413,0.5294117647058824
grok-4.6,B-C,same_model_effect,20,-0.1,0.0,-0.3,0.1,1,0.05,16,0.8,3,0.15,0.6470588235294118,0.6666666666666666
grok-4.6,C-D,beneficiary_effect,20,0.15,0.0,0.0,0.3,3,0.15,17,0.85,0,0.0,0.3333333333333333,0.6666666666666666
grok-4.6,A-D,total_effect,20,0.25,0.0,0.1,0.45,5,0.25,15,0.75,0,0.0,0.09090909090909091,0.09090909090909091
haiku,A-B,continuation_effect,20,-0.45,0.0,-1.05,0.15,3,0.15,10,0.5,7,0.35,0.23121951219512196,0.4624390243902439
haiku,B-C,same_model_effect,20,0.45,0.0,-0.2,1.15,9,0.45,4,0.2,7,0.35,0.27408944565665194,0.4624390243902439
haiku,C-D,beneficiary_effect,20,0.5,0.0,0.1,0.95,8,0.4,10,0.5,2,0.1,0.06146341463414634,0.18439024390243902
haiku,A-D,total_effect,20,0.5,0.0,0.0,1.0,9,0.45,8,0.4,3,0.15,0.11203319502074689,0.11203319502074689
luna,A-B,continuation_effect,20,-0.2,0.0,-0.5,0.1,2,0.1,13,0.65,5,0.25,0.3643410852713178,0.6666666666666666
luna,B-C,same_model_effect,20,0.25,0.0,0.0,0.55,5,0.25,14,0.7,1,0.05,0.2,0.6000000000000001
luna,C-D,beneficiary_effect,20,0.2,0.0,-0.05,0.5,4,0.2,15,0.75,1,0.05,0.3333333333333333,0.6666666666666666
luna,A-D,total_effect,20,0.25,0.0,-0.05,0.6,4,0.2,15,0.75,1,0.05,0.3333333333333333,0.3333333333333333
maverick,A-B,continuation_effect,20,-0.45,-0.5,-1.25,0.35,6,0.3,4,0.2,10,0.5,0.3310343775271984,0.9931031325815951
maverick,B-C,same_model_effect,20,0.2,0.0,-0.6,0.95,9,0.45,6,0.3,5,0.25,0.7129081476960635,0.9931031325815951
maverick,C-D,beneficiary_effect,20,0.45,0.0,-0.55,1.6,9,0.45,2,0.1,9,0.45,0.4889451105488945,0.9931031325815951
maverick,A-D,total_effect,20,0.2,0.0,-0.9,1.35,7,0.35,5,0.25,8,0.4,0.8028014281790716,0.8028014281790716
scout,A-B,continuation_effect,20,3.6,6.0,1.3,5.8,14,0.7,3,0.15,3,0.15,0.00961990380096199,0.00961990380096199
scout,B-C,same_model_effect,20,-6.3,-7.0,-7.501249999999999,-4.9,0,0.0,3,0.15,17,0.85,1.999980000199998e-05,5.999940000599994e-05
scout,C-D,beneficiary_effect,20,4.8,6.5,3.1,6.4,13,0.65,7,0.35,0,0.0,0.0003661662394727206,0.0007323324789454412
scout,A-D,total_effect,20,2.1,0.0,-0.4,4.55,9,0.45,5,0.25,6,0.3,0.130580731789191,0.130580731789191
