model_key,queries_used,n,mean_final_score,bootstrap_ci_low,bootstrap_ci_high
deepseek,0,4,0.17857142857142852,0.1428571428571428,0.24999999999999997
deepseek,1,1,0.1428571428571428,,
deepseek,5,1,0.0,,
deepseek,6,2,0.1428571428571428,0.1428571428571428,0.1428571428571428
deepseek,7,1,0.5714285714285714,,
deepseek,8,2,0.1428571428571428,0.1428571428571428,0.1428571428571428
deepseek,9,15,0.3142857142857142,0.18095238095238092,0.4476190476190476
deepseek,10,54,0.2645502645502646,0.22751322751322747,0.3042328042328042
gemini-flash,1,1,0.2857142857142857,,
gemini-flash,2,4,0.10714285714285712,0.0,0.21428571428571427
gemini-flash,3,4,0.17857142857142852,0.0357142857142857,0.3571428571428571
gemini-flash,4,2,0.0,0.0,0.0
gemini-flash,5,5,0.1714285714285714,0.08571428571428567,0.2571428571428571
gemini-flash,6,5,0.3428571428571428,0.11428571428571424,0.6857142857142857
gemini-flash,7,8,0.32142857142857134,0.1602678571428575,0.5535714285714285
gemini-flash,8,4,0.3928571428571428,0.07142857142857142,0.8214285714285714
gemini-flash,9,15,0.37142857142857133,0.2285714285714285,0.5333333333333333
gemini-flash,10,32,0.33928571428571425,0.2589285714285714,0.4196428571428571
gemini-pro,0,8,0.1607142857142857,0.05357142857142856,0.2678571428571428
gemini-pro,3,1,0.1428571428571428,,
gemini-pro,4,3,0.14285714285714282,0.0,0.2857142857142857
gemini-pro,5,4,0.2857142857142857,0.0357142857142857,0.6785714285714285
gemini-pro,6,9,0.22222222222222218,0.15873015873015867,0.2857142857142857
gemini-pro,7,6,0.35714285714285715,0.19047619047619044,0.5714285714285714
gemini-pro,8,14,0.32653061224489793,0.23469387755102034,0.41836734693877553
gemini-pro,9,20,0.3285714285714285,0.24285714285714283,0.42857142857142855
gemini-pro,10,15,0.2761904761904761,0.20952380952380947,0.3428571428571428
grok-4.6,9,9,0.2063492063492063,0.12698412698412695,0.2857142857142857
grok-4.6,10,71,0.37424547283702203,0.3179074446680079,0.43460764587525136
haiku,5,1,0.2857142857142857,,
haiku,6,5,0.3428571428571428,0.1714285714285714,0.48571428571428565
haiku,7,11,0.1688311688311688,0.07792207792207789,0.2727272727272727
haiku,8,18,0.14285714285714285,0.08730158730158727,0.2063492063492063
haiku,9,45,0.18412698412698406,0.1428571428571428,0.22857142857142854
luna,7,2,0.1428571428571428,0.1428571428571428,0.1428571428571428
luna,8,2,0.6428571428571428,0.5714285714285714,0.7142857142857143
luna,9,12,0.3095238095238095,0.23809523809523803,0.38095238095238093
luna,10,64,0.3258928571428571,0.2834821428571428,0.3683035714285714
maverick,4,6,0.26190476190476186,0.09523809523809523,0.40476190476190466
maverick,5,9,0.25396825396825395,0.14285714285714285,0.34920634920634913
maverick,6,13,0.3406593406593406,0.2527472527472527,0.4395604395604395
maverick,7,17,0.32773109243697474,0.2521008403361344,0.403361344537815
maverick,8,13,0.20879120879120874,0.1428571428571428,0.28571428571428564
maverick,9,12,0.29761904761904756,0.23809523809523803,0.35714285714285704
maverick,10,10,0.29999999999999993,0.21428571428571425,0.3857142857142857
scout,0,43,0.1262458471760797,0.08305647840531559,0.17275747508305644
scout,4,1,0.5714285714285714,,
scout,5,4,0.21428571428571427,0.0,0.42857142857142855
scout,6,1,0.1428571428571428,,
scout,7,16,0.11607142857142855,0.05357142857142855,0.18749999999999997
scout,8,3,0.09523809523809519,0.0,0.1428571428571428
scout,9,10,0.04285714285714285,0.0,0.09999999999999999
scout,10,2,0.0714285714285714,0.0,0.1428571428571428
