model_key,contrast,clean_mean_paired_difference,clean_bootstrap_ci_low,clean_bootstrap_ci_high,clean_p_value_holm,clean_n_matched_games,sensitivity_mean_paired_difference,sensitivity_bootstrap_ci_low,sensitivity_bootstrap_ci_high,sensitivity_p_value_holm,sensitivity_n_matched_games,same_direction,material_effect_change,clean_ci_excludes_zero,sensitivity_ci_excludes_zero,ci_interpretation_changed
deepseek,A-B,-1.95,-3.65,-0.45,0.10471076397363925,20,-1.95,-3.75,-0.45,0.10471076397363925,20,True,False,True,True,False
deepseek,B-C,1.6,-0.35,3.6,0.3211322596388482,20,1.6,-0.3,3.65,0.3211322596388482,20,True,False,False,False,False
deepseek,C-D,0.65,-0.10124999999999887,1.65,0.3211322596388482,20,0.65,-0.1,1.7,0.3211322596388482,20,True,False,False,False,False
gemini-flash,A-B,1.45,-0.15,3.05,0.22641773582264177,20,1.45,-0.1,3.05,0.22537774622253778,20,True,False,False,False,False
gemini-flash,B-C,0.5,-1.0,2.0,0.5801041989580105,20,0.5,-1.0,2.05,0.5805041949580504,20,True,False,False,False,False
gemini-flash,C-D,2.0,1.05,3.05,0.000549282880683552,20,2.0,1.05,3.05,0.000549282880683552,20,True,False,True,True,False
gemini-pro,A-B,2.2,0.65,3.7,0.02959970400295997,20,2.2,0.7,3.7,0.02979970200297997,20,True,False,True,True,False
gemini-pro,B-C,1.0,-0.55,2.55,0.25935740642593574,20,1.0,-0.55,2.55,0.2585374146258537,20,True,False,False,False,False
gemini-pro,C-D,1.85,1.05,2.95,0.00013732700611868105,20,1.85,1.05,2.95,0.00013732700611868105,20,True,False,True,True,False
grok-4.6,A-B,0.2,0.05,0.4,0.5294117647058824,20,0.2,0.05,0.4,0.5294117647058824,20,True,False,True,True,False
grok-4.6,B-C,-0.1,-0.3,0.1,0.6666666666666666,20,-0.1,-0.3,0.1,0.6666666666666666,20,True,False,False,False,False
grok-4.6,C-D,0.15,0.0,0.3,0.6666666666666666,20,0.15,0.0,0.3,0.6666666666666666,20,True,False,False,False,False
haiku,A-B,-0.45,-1.05,0.15,0.4624390243902439,20,-0.45,-1.1,0.15,0.4624390243902439,20,True,False,False,False,False
haiku,B-C,0.45,-0.2,1.15,0.4624390243902439,20,0.45,-0.2,1.1,0.4624390243902439,20,True,False,False,False,False
haiku,C-D,0.5,0.1,0.95,0.18439024390243902,20,0.5,0.1,0.95,0.18439024390243902,20,True,False,True,True,False
luna,A-B,-0.2,-0.5,0.1,0.6666666666666666,20,-0.2,-0.5,0.1,0.6666666666666666,20,True,False,False,False,False
luna,B-C,0.25,0.0,0.55,0.6000000000000001,20,0.25,0.0,0.55,0.6000000000000001,20,True,False,False,False,False
luna,C-D,0.2,-0.05,0.5,0.6666666666666666,20,0.2,-0.05,0.5,0.6666666666666666,20,True,False,False,False,False
maverick,A-B,-0.45,-1.25,0.35,0.9931031325815951,20,-0.45,-1.2,0.3,0.9931031325815951,20,True,False,False,False,False
maverick,B-C,0.2,-0.6,0.95,0.9931031325815951,20,0.2,-0.6,0.95,0.9931031325815951,20,True,False,False,False,False
maverick,C-D,0.45,-0.55,1.6,0.9931031325815951,20,0.45,-0.6,1.55,0.9931031325815951,20,True,False,False,False,False
scout,A-B,3.6,1.3,5.8,0.00961990380096199,20,3.6,1.25,5.75,0.00950990490095099,20,True,False,True,True,False
scout,B-C,-6.3,-7.501249999999999,-4.9,5.999940000599994e-05,20,-6.3,-7.55,-4.9,0.00011999880001199988,20,True,False,True,True,False
scout,C-D,4.8,3.1,6.4,0.0007323324789454412,20,4.8,3.2,6.4,0.0007323324789454412,20,True,False,True,True,False
