model_key,track,n,total_input_tokens_mean,total_input_tokens_median,total_output_tokens_mean,total_output_tokens_median,total_reasoning_tokens_mean,total_reasoning_tokens_median,total_tokens_mean,total_tokens_median,num_model_calls_mean,num_model_calls_median,total_cost_usd_mean,total_cost_usd_median
deepseek,A,20,28069.2,11439.5,5932.65,2232.0,1.5,1.5,34001.85,14395.5,13.75,13.0,0.001564133032,0.00081408684
deepseek,B,20,28788.2,4724.0,4878.4,72.0,2.3333333333333335,2.0,33666.6,4796.0,10.7,11.0,0.001370455183999975,0.0001420406399999
deepseek,C,20,26739.45,4799.5,2827.55,74.0,2.0,2.0,29567.0,4872.5,13.25,11.0,0.00101459301999997,0.00015358112
deepseek,D,20,18430.6,5776.0,3561.4,417.0,1.0,1.0,21992.0,6120.5,12.6,12.0,0.001006626095999995,0.00024715432
gemini-flash,A,20,2667.55,2792.0,6188.85,5323.5,6131.8,5246.0,8856.4,8510.0,7.0,7.5,0.012604424999999989,0.011429624999999999
gemini-flash,B,20,3404.9,3887.0,6486.0,6488.5,6418.85,6407.5,9890.9,10433.0,8.45,9.5,0.013438087499999984,0.0137278125
gemini-flash,C,20,3697.2,4205.0,7511.6,8211.5,7439.55,8126.5,11208.8,12712.5,8.95,10.0,0.015470699999999987,0.017084437499999952
gemini-flash,D,20,4424.5,4423.0,7923.85,7860.5,7835.2,7775.0,12348.35,12298.5,11.0,11.0,0.016516406249999997,0.0164026875
gemini-pro,A,20,1993.25,2029.0,2391.05,1898.5,2366.3,1863.5,4384.3,3996.0,5.55,6.0,0.03267909999999999,0.027797
gemini-pro,B,20,2929.0,2983.5,2397.65,2202.5,2360.25,2161.5,5326.65,5420.0,7.75,8.0,0.03462979999999999,0.03289199999999995
gemini-pro,C,20,3458.05,3577.0,3827.1,3093.5,3784.8,3050.5,7285.15,6670.0,8.75,9.0,0.052841299999999994,0.044565999999999995
gemini-pro,D,20,4045.2,4200.5,3248.35,3133.0,3193.35,3089.5,7293.55,6824.0,10.6,11.0,0.047070599999999976,0.044961999999999946
grok-4.6,A,20,16643.45,12762.5,3895.85,3182.0,3433.45,2261.5,20539.3,15662.0,11.85,11.5,0.041753199999999976,0.031745999999999955
grok-4.6,B,20,17409.75,12343.5,3762.65,2154.5,3090.8,1963.0,21172.4,15372.5,12.2,12.0,0.043331399999999985,0.028532999999999947
grok-4.6,C,20,13169.75,12073.0,3066.95,1818.0,2807.2,1557.5,16236.7,13967.0,11.95,11.0,0.03365319999999998,0.023736
grok-4.6,D,20,11002.65,10658.0,2546.65,1374.0,2496.1,1328.5,13549.3,12291.5,11.5,11.0,0.027637199999999973,0.020849999999999952
haiku,A,20,5634.45,5065.0,5596.25,5764.0,5459.1,5643.5,11230.7,10803.5,10.8,10.0,0.03361569999999999,0.03353199999999995
haiku,B,20,5124.25,5019.0,5204.4,5208.0,5076.85,5091.5,10328.65,10242.5,10.05,10.0,0.031146249999999976,0.0309455
haiku,C,20,5497.85,5451.5,5892.55,6034.0,5758.7,5890.5,11390.4,11390.5,10.55,10.5,0.03496059999999998,0.03563249999999995
haiku,D,20,5323.6,5411.5,5996.5,5884.5,5859.4,5742.5,11320.1,11221.5,10.8,11.0,0.0353061,0.0348315
luna,A,20,11498.2,11251.5,1595.2,1634.0,1476.4,1508.0,13093.4,12903.5,11.3,11.0,0.00210693999999999,0.0020349499999999998
luna,B,20,12297.8,11448.0,1784.05,1651.0,1668.25,1535.0,14081.85,13038.0,11.1,11.0,0.0023002099999999753,0.0021132
luna,C,20,11661.85,11166.0,1567.0,1573.5,1450.1,1445.0,13228.85,12417.5,11.35,11.0,0.0021063849999999797,0.0019997499999999504
luna,D,20,12393.4,11027.0,1802.85,1630.0,1680.8,1514.0,14196.25,12403.0,11.75,11.5,0.002321049999999975,0.00192314999999995
maverick,A,20,27426.75,27970.0,1928.6,1811.5,,,29355.35,30171.0,16.8,17.0,0.0068276555999999804,0.007040088
maverick,B,20,26874.85,28166.0,2057.45,1971.5,,,28932.3,30622.0,15.85,16.0,0.006806955199999971,0.0072622039999999995
maverick,C,20,30249.7,30539.0,2256.25,2185.0,,,32505.95,32926.5,16.4,16.0,0.00762028999999997,0.00775519599999995
maverick,D,20,28095.85,28145.5,1913.85,1968.5,,,30009.7,30266.0,17.2,18.0,0.00695120959999998,0.007023227999999999
scout,A,20,3215.35,259.0,162.45,6.0,,,3377.8,265.0,4.5,1.0,0.00040892149999998,3.053e-05
scout,B,20,7112.95,7765.5,395.65,412.5,,,7508.6,8262.5,8.9,9.5,0.000916945499999985,0.00102318499999995
scout,C,20,271.0,271.0,6.0,6.0,,,277.0,277.0,1.0,1.0,3.185000000000001e-05,3.185e-05
scout,D,20,4024.8,4641.0,194.45,240.5,,,4219.25,4883.0,6.65,8.5,0.00050884099999999,0.0005927899999999999
