model_key,track,n,mean_credits_remaining,median_credits_remaining,sd_credits_remaining,iqr_credits_remaining,min_credits_remaining,max_credits_remaining,mean_final_score
deepseek,A,20,0.55,0.0,1.1459310165698642,1.0,0,5,0.25
deepseek,B,20,2.5,0.0,3.993415633396132,3.25,0,10,0.2857142857142857
deepseek,C,20,0.9,0.0,2.1496633763403397,1.0,0,9,0.20714285714285713
deepseek,D,20,0.25,0.0,0.5501196042201808,0.0,0,2,0.3071428571428571
gemini-flash,A,20,4.0,3.5,2.8469743865891624,5.0,0,8,0.29999999999999993
gemini-flash,B,20,2.55,1.5,2.5230516193063135,3.0,0,9,0.25
gemini-flash,C,20,2.05,1.0,2.327750212679956,2.5,0,8,0.3571428571428571
gemini-flash,D,20,0.05,0.0,0.22360679774997896,0.0,0,1,0.32142857142857145
gemini-pro,A,20,5.45,5.0,3.4101242453055947,7.25,1,10,0.25714285714285706
gemini-pro,B,20,3.25,3.0,2.2213082915965963,2.0,1,10,0.29285714285714287
gemini-pro,C,20,2.25,2.0,2.29128784747792,1.25,0,10,0.27142857142857146
gemini-pro,D,20,0.4,0.0,0.5982430416161189,1.0,0,2,0.29999999999999993
grok-4.6,A,20,0.25,0.0,0.4442616583193193,0.25,0,1,0.37857142857142845
grok-4.6,B,20,0.05,0.0,0.22360679774997894,0.0,0,1,0.37857142857142856
grok-4.6,C,20,0.15,0.0,0.36634754853252327,0.0,0,1,0.2571428571428571
grok-4.6,D,20,0.0,0.0,0.0,0.0,0,0,0.40714285714285714
haiku,A,20,1.75,1.5,0.910465468000326,1.0,1,4,0.1928571428571428
haiku,B,20,2.2,2.0,1.2396943596157717,2.0,1,5,0.16428571428571423
haiku,C,20,1.75,1.0,1.019545822516343,1.0,1,4,0.2214285714285714
haiku,D,20,1.25,1.0,0.5501196042201808,0.0,1,3,0.1571428571428571
luna,A,20,0.3,0.0,0.7326950970650465,0.0,0,3,0.32857142857142857
luna,B,20,0.5,0.0,0.8271701918685112,1.0,0,3,0.2785714285714286
luna,C,20,0.25,0.0,0.5501196042201808,0.0,0,2,0.30714285714285705
luna,D,20,0.05,0.0,0.22360679774997894,0.0,0,1,0.3928571428571429
maverick,A,20,2.65,2.5,1.9540780569443943,3.25,0,6,0.32142857142857134
maverick,B,20,3.1,3.0,1.4832396974191324,2.0,0,6,0.3071428571428571
maverick,C,20,2.9,3.0,1.7740824166460338,3.0,0,6,0.2857142857142857
maverick,D,20,2.45,2.0,1.9324105480761042,3.0,0,6,0.24285714285714288
scout,A,20,7.3,10.0,3.812721089361659,7.0,1,10,0.11428571428571425
scout,B,20,3.7,3.0,3.113637236754671,4.0,0,10,0.0857142857142857
scout,C,20,10.0,10.0,0.0,0.0,10,10,0.1214285714285714
scout,D,20,5.2,3.5,3.8196169551684798,7.25,0,10,0.16428571428571423
