generation_id,created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name,api_key_disabled
gen-1786879795-j26lDtJps2Bg9n2h9YTa,2026-08-16 11:29:55.441,0.000451,,,,0,2770,291,280,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,2944,2888,,digitalminds_research,false
gen-1786879788-LeRyiFduBh3HGO8ZsNEX,2026-08-16 11:29:48.755,0.000311,,,,0,2769,58,46,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1174,1015,,digitalminds_research,false
gen-1786879782-uBuzrsFgWijExdUpKWxD,2026-08-16 11:29:42.097,0.000472,,,,0,3391,222,210,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,2870,2718,,digitalminds_research,false
gen-1786879775-yiP081YanFuOw3C42xEc,2026-08-16 11:29:35.416,0.000192,,,,0,1735,31,19,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,973,811,,digitalminds_research,false
gen-1786879768-NLnP9CCCZ57yyHgQPTXr,2026-08-16 11:29:28.718,0.000204,,,,0,1838,34,23,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1062,892,,digitalminds_research,false
gen-1786879762-r8UfDtUSEBT2pqIMOvqX,2026-08-16 11:29:22.041,0.000554,,,,0,2181,560,549,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,6244,5685,,digitalminds_research,false
gen-1786879755-FASVOVNzg1ZZKSanDBtz,2026-08-16 11:29:15.372,0.000385,,,,0,2859,166,154,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1907,1786,,digitalminds_research,false
gen-1786879748-ZMzeSbyZwluJJKGv0BAV,2026-08-16 11:29:08.691,0.00033,,,,0,2654,108,96,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1626,1481,,digitalminds_research,false
gen-1786879742-lq6mZrOrhMijXdammcYl,2026-08-16 11:29:02.032,0.000537,,,,0,2213,527,516,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,4541,4388,,digitalminds_research,false
gen-1786879735-fdxUSaA88jktMPmAcQdT,2026-08-16 11:28:55.340,0.000263,,,,0,2165,78,67,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1310,1182,,digitalminds_research,false
gen-1786879728-CQGinINObIXEfVuVhsRG,2026-08-16 11:28:48.669,0.000405,,,,0,3223,139,128,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1850,1733,,digitalminds_research,false
gen-1786879722-GTLZ9Hlz7EFCZoSO2jwN,2026-08-16 11:28:42.011,0.000239,,,,0,1562,139,126,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1973,1781,,digitalminds_research,false
gen-1786879715-UhMxabf5iTMFRSWZK3Up,2026-08-16 11:28:35.332,0.000202,,,,0,1766,43,33,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1027,843,,digitalminds_research,false
gen-1786879708-zliP8kOFxceZmOiL5WIR,2026-08-16 11:28:28.644,0.000416,,,,0,1686,413,400,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,4205,4058,,digitalminds_research,false
gen-1786879701-6njF2xgHroQj9d7CdGrw,2026-08-16 11:28:21.986,0.000222,,,,0,1045,197,185,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,2479,2340,,digitalminds_research,false
gen-1786879695-qXM63AuDsJCSnsQ8pLbx,2026-08-16 11:28:15.288,0.000329,,,,0,3176,19,8,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1116,956,,digitalminds_research,false
gen-1786879688-8AzpWVTvNSjxrZEk23bH,2026-08-16 11:28:08.619,0.000403,,,,0,1776,376,365,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,3799,3660,,digitalminds_research,false
gen-1786879681-uOopmy6nN078ClOpF6xh,2026-08-16 11:28:01.943,0.000529,,,,0,2304,499,487,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,5206,4985,,digitalminds_research,false
gen-1786879675-KR3yuMsk8QAepx3HcECQ,2026-08-16 11:27:55.257,0.00036,,,,0,2675,155,144,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1724,1595,,digitalminds_research,false
gen-1786879668-sLRc8akQm5RqMOVPZGv0,2026-08-16 11:27:48.601,0.000289,,,,0,2654,40,29,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,934,796,,digitalminds_research,false
gen-1786879661-TB2grXVi3AohbAh8OMZr,2026-08-16 11:27:41.928,0.000418,,,,0,2038,358,347,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,4048,3886,,digitalminds_research,false
gen-1786879655-um7UTkkkRByBDLU0E0X1,2026-08-16 11:27:35.264,0.0003,,,,0,2550,75,64,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1442,1266,,digitalminds_research,false
gen-1786879648-8QfsY29jamJiVNf5QN7n,2026-08-16 11:27:28.603,0.000413,,,,0,2857,213,202,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,2095,1952,,digitalminds_research,false
gen-1786879641-ZQKroY7hgiMLeZmugoUA,2026-08-16 11:27:21.926,0.000759,,,,0,1814,964,952,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,8219,8088,,digitalminds_research,false
gen-1786879635-UUHtgxoMlQpa3zev5CT8,2026-08-16 11:27:15.254,0.000226,,,,0,2017,42,30,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,981,811,,digitalminds_research,false
gen-1786879628-gCqNPYOrP5EpPmLgzEI2,2026-08-16 11:27:08.554,0.000297,,,,0,2026,158,147,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,2409,2282,,digitalminds_research,false
gen-1786879621-vHB4b614TXRVK6MCEYEa,2026-08-16 11:27:01.915,0.000308,,,,0,2079,167,155,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1988,1852,,digitalminds_research,false
gen-1786879615-5QIejoFpBglnUY0nkTcc,2026-08-16 11:26:55.202,0.000627,,,,0,2410,644,633,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,5886,5723,,digitalminds_research,false
gen-1786879608-BMBHVg6QFD9HIPEpcZS4,2026-08-16 11:26:48.533,0.000223,,,,0,1466,128,117,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1847,1711,,digitalminds_research,false
gen-1786879601-ev9Vt7f55ZIsydo0QTMT,2026-08-16 11:26:41.882,0.000207,,,,0,1326,125,113,0,openai/gpt-5.6-luna-20260709,OpenAI,standard,false,true,,completed,stop,1875,1743,,digitalminds_research,false
